(base) /root/miniconda3/envs/torch_env/bin/python /root/yesy/MAGA/pytorch/MHAFM.py drop-0.1
[8, 4]
epoch/epoches: 9/100, train loss: 0.420, test auc: 0.711
epoch/epoches: 10/100, train loss: 0.404, test auc: 0.705
epoch/epoches: 11/100, train loss: 0.390, test auc: 0.700
epoch/epoches: 12/100, train loss: 0.377, test auc: 0.695
epoch/epoches: 13/100, train loss: 0.366, test auc: 0.690
epoch/epoches: 14/100, train loss: 0.355, test auc: 0.686
epoch/epoches: 15/100, train loss: 0.345, test auc: 0.682
epoch/epoches: 16/100, train loss: 0.337, test auc: 0.679
epoch/epoches: 17/100, train loss: 0.329, test auc: 0.676
epoch/epoches: 18/100, train loss: 0.322, test auc: 0.672
epoch/epoches: 19/100, train loss: 0.315, test auc: 0.670
epoch/epoches: 20/100, train loss: 0.309, test auc: 0.666
epoch/epoches: 21/100, train loss: 0.304, test auc: 0.665
epoch/epoches: 22/100, train loss: 0.299, test auc: 0.664
epoch/epoches: 23/100, train loss: 0.295, test auc: 0.661
epoch/epoches: 24/100, train loss: 0.291, test auc: 0.660
epoch/epoches: 25/100, train loss: 0.287, test auc: 0.659
epoch/epoches: 26/100, train loss: 0.283, test auc: 0.657
epoch/epoches: 27/100, train loss: 0.280, test auc: 0.657
epoch/epoches: 28/100, train loss: 0.277, test auc: 0.655
epoch/epoches: 29/100, train loss: 0.274, test auc: 0.653
epoch/epoches: 30/100, train loss: 0.271, test auc: 0.653
epoch/epoches: 31/100, train loss: 0.269, test auc: 0.651
epoch/epoches: 32/100, train loss: 0.266, test auc: 0.651
epoch/epoches: 33/100, train loss: 0.264, test auc: 0.649
epoch/epoches: 34/100, train loss: 0.262, test auc: 0.649
epoch/epoches: 35/100, train loss: 0.260, test auc: 0.648
epoch/epoches: 36/100, train loss: 0.258, test auc: 0.647
epoch/epoches: 37/100, train loss: 0.256, test auc: 0.645
epoch/epoches: 38/100, train loss: 0.254, test auc: 0.646
epoch/epoches: 39/100, train loss: 0.252, test auc: 0.643
epoch/epoches: 40/100, train loss: 0.250, test auc: 0.644
epoch/epoches: 41/100, train loss: 0.249, test auc: 0.644
epoch/epoches: 42/100, train loss: 0.247, test auc: 0.641
epoch/epoches: 43/100, train loss: 0.246, test auc: 0.642
epoch/epoches: 44/100, train loss: 0.244, test auc: 0.641
epoch/epoches: 45/100, train loss: 0.242, test auc: 0.640
epoch/epoches: 46/100, train loss: 0.241, test auc: 0.641
epoch/epoches: 47/100, train loss: 0.240, test auc: 0.640
epoch/epoches: 48/100, train loss: 0.238, test auc: 0.639
epoch/epoches: 49/100, train loss: 0.237, test auc: 0.638
epoch/epoches: 50/100, train loss: 0.236, test auc: 0.638
epoch/epoches: 51/100, train loss: 0.235, test auc: 0.637
epoch/epoches: 52/100, train loss: 0.233, test auc: 0.637
epoch/epoches: 53/100, train loss: 0.232, test auc: 0.637
epoch/epoches: 54/100, train loss: 0.230, test auc: 0.636
epoch/epoches: 55/100, train loss: 0.229, test auc: 0.636
epoch/epoches: 56/100, train loss: 0.228, test auc: 0.636
epoch/epoches: 57/100, train loss: 0.227, test auc: 0.634
epoch/epoches: 58/100, train loss: 0.226, test auc: 0.635
epoch/epoches: 59/100, train loss: 0.225, test auc: 0.635
epoch/epoches: 60/100, train loss: 0.224, test auc: 0.634
epoch/epoches: 61/100, train loss: 0.223, test auc: 0.634
epoch/epoches: 62/100, train loss: 0.222, test auc: 0.634
epoch/epoches: 63/100, train loss: 0.221, test auc: 0.633
epoch/epoches: 64/100, train loss: 0.220, test auc: 0.633
epoch/epoches: 65/100, train loss: 0.219, test auc: 0.632
epoch/epoches: 66/100, train loss: 0.218, test auc: 0.632
epoch/epoches: 67/100, train loss: 0.217, test auc: 0.632
epoch/epoches: 68/100, train loss: 0.216, test auc: 0.631
epoch/epoches: 69/100, train loss: 0.216, test auc: 0.632
epoch/epoches: 70/100, train loss: 0.215, test auc: 0.631
epoch/epoches: 71/100, train loss: 0.214, test auc: 0.631
epoch/epoches: 72/100, train loss: 0.213, test auc: 0.630
epoch/epoches: 73/100, train loss: 0.212, test auc: 0.630
epoch/epoches: 74/100, train loss: 0.212, test auc: 0.631
epoch/epoches: 75/100, train loss: 0.211, test auc: 0.630
epoch/epoches: 76/100, train loss: 0.210, test auc: 0.629
epoch/epoches: 77/100, train loss: 0.209, test auc: 0.628
epoch/epoches: 78/100, train loss: 0.209, test auc: 0.629
epoch/epoches: 79/100, train loss: 0.208, test auc: 0.628
epoch/epoches: 80/100, train loss: 0.207, test auc: 0.628
epoch/epoches: 81/100, train loss: 0.207, test auc: 0.629
epoch/epoches: 82/100, train loss: 0.206, test auc: 0.628
epoch/epoches: 83/100, train loss: 0.205, test auc: 0.628
epoch/epoches: 84/100, train loss: 0.205, test auc: 0.628
epoch/epoches: 85/100, train loss: 0.205, test auc: 0.628
epoch/epoches: 86/100, train loss: 0.204, test auc: 0.627
epoch/epoches: 87/100, train loss: 0.203, test auc: 0.627
epoch/epoches: 88/100, train loss: 0.203, test auc: 0.628
epoch/epoches: 89/100, train loss: 0.202, test auc: 0.627
epoch/epoches: 90/100, train loss: 0.201, test auc: 0.626
epoch/epoches: 91/100, train loss: 0.201, test auc: 0.626
epoch/epoches: 92/100, train loss: 0.200, test auc: 0.626
epoch/epoches: 93/100, train loss: 0.200, test auc: 0.626
epoch/epoches: 94/100, train loss: 0.199, test auc: 0.626
epoch/epoches: 95/100, train loss: 0.199, test auc: 0.625
epoch/epoches: 96/100, train loss: 0.199, test auc: 0.625
epoch/epoches: 97/100, train loss: 0.198, test auc: 0.626
epoch/epoches: 98/100, train loss: 0.198, test auc: 0.626
epoch/epoches: 99/100, train loss: 0.197, test auc: 0.625


(base) /root/miniconda3/envs/torch_env/bin/python /root/yesy/MAGA/pytorch/MHAFM.py 0.9drop 100w
[8, 4]
epoch/epoches: 0/100, train loss: 0.687, test auc: 0.594
epoch/epoches: 1/100, train loss: 0.679, test auc: 0.640
epoch/epoches: 2/100, train loss: 0.678, test auc: 0.668
epoch/epoches: 3/100, train loss: 0.677, test auc: 0.684
epoch/epoches: 4/100, train loss: 0.676, test auc: 0.695
epoch/epoches: 5/100, train loss: 0.675, test auc: 0.703
epoch/epoches: 6/100, train loss: 0.675, test auc: 0.708
epoch/epoches: 7/100, train loss: 0.675, test auc: 0.713
epoch/epoches: 8/100, train loss: 0.674, test auc: 0.717
epoch/epoches: 9/100, train loss: 0.674, test auc: 0.719
epoch/epoches: 10/100, train loss: 0.673, test auc: 0.722
epoch/epoches: 11/100, train loss: 0.673, test auc: 0.724
epoch/epoches: 12/100, train loss: 0.672, test auc: 0.725
epoch/epoches: 13/100, train loss: 0.672, test auc: 0.726
epoch/epoches: 14/100, train loss: 0.672, test auc: 0.727
epoch/epoches: 15/100, train loss: 0.672, test auc: 0.728
epoch/epoches: 16/100, train loss: 0.672, test auc: 0.729
epoch/epoches: 17/100, train loss: 0.671, test auc: 0.729
epoch/epoches: 18/100, train loss: 0.671, test auc: 0.729
epoch/epoches: 19/100, train loss: 0.671, test auc: 0.730
epoch/epoches: 20/100, train loss: 0.671, test auc: 0.730
epoch/epoches: 21/100, train loss: 0.671, test auc: 0.730
epoch/epoches: 22/100, train loss: 0.670, test auc: 0.729
epoch/epoches: 23/100, train loss: 0.670, test auc: 0.729
epoch/epoches: 24/100, train loss: 0.670, test auc: 0.729
epoch/epoches: 25/100, train loss: 0.669, test auc: 0.728
epoch/epoches: 26/100, train loss: 0.669, test auc: 0.728
epoch/epoches: 27/100, train loss: 0.669, test auc: 0.728
epoch/epoches: 28/100, train loss: 0.669, test auc: 0.727
epoch/epoches: 29/100, train loss: 0.669, test auc: 0.726
epoch/epoches: 30/100, train loss: 0.669, test auc: 0.726
epoch/epoches: 31/100, train loss: 0.668, test auc: 0.726
epoch/epoches: 32/100, train loss: 0.668, test auc: 0.725
epoch/epoches: 33/100, train loss: 0.668, test auc: 0.723
epoch/epoches: 34/100, train loss: 0.668, test auc: 0.724
epoch/epoches: 35/100, train loss: 0.667, test auc: 0.724
epoch/epoches: 36/100, train loss: 0.668, test auc: 0.722
epoch/epoches: 37/100, train loss: 0.667, test auc: 0.722
epoch/epoches: 38/100, train loss: 0.667, test auc: 0.721
epoch/epoches: 39/100, train loss: 0.666, test auc: 0.719
epoch/epoches: 40/100, train loss: 0.666, test auc: 0.718
epoch/epoches: 41/100, train loss: 0.666, test auc: 0.718
epoch/epoches: 42/100, train loss: 0.665, test auc: 0.717
epoch/epoches: 43/100, train loss: 0.665, test auc: 0.717
epoch/epoches: 44/100, train loss: 0.665, test auc: 0.717
epoch/epoches: 45/100, train loss: 0.665, test auc: 0.715
epoch/epoches: 46/100, train loss: 0.665, test auc: 0.715
epoch/epoches: 47/100, train loss: 0.665, test auc: 0.714
epoch/epoches: 48/100, train loss: 0.664, test auc: 0.714
epoch/epoches: 49/100, train loss: 0.664, test auc: 0.712
epoch/epoches: 50/100, train loss: 0.664, test auc: 0.713
epoch/epoches: 51/100, train loss: 0.664, test auc: 0.711
epoch/epoches: 52/100, train loss: 0.664, test auc: 0.711
epoch/epoches: 53/100, train loss: 0.664, test auc: 0.711
epoch/epoches: 54/100, train loss: 0.664, test auc: 0.709
epoch/epoches: 55/100, train loss: 0.663, test auc: 0.709
epoch/epoches: 56/100, train loss: 0.663, test auc: 0.708
epoch/epoches: 57/100, train loss: 0.662, test auc: 0.708
epoch/epoches: 58/100, train loss: 0.662, test auc: 0.706
epoch/epoches: 59/100, train loss: 0.662, test auc: 0.706
epoch/epoches: 60/100, train loss: 0.662, test auc: 0.705
epoch/epoches: 61/100, train loss: 0.662, test auc: 0.705
epoch/epoches: 62/100, train loss: 0.661, test auc: 0.703
epoch/epoches: 63/100, train loss: 0.661, test auc: 0.703
epoch/epoches: 64/100, train loss: 0.661, test auc: 0.703
epoch/epoches: 65/100, train loss: 0.661, test auc: 0.702
epoch/epoches: 66/100, train loss: 0.661, test auc: 0.701
epoch/epoches: 67/100, train loss: 0.660, test auc: 0.701
epoch/epoches: 68/100, train loss: 0.660, test auc: 0.698
epoch/epoches: 69/100, train loss: 0.660, test auc: 0.697
epoch/epoches: 70/100, train loss: 0.660, test auc: 0.699
epoch/epoches: 71/100, train loss: 0.660, test auc: 0.697
epoch/epoches: 72/100, train loss: 0.659, test auc: 0.696
epoch/epoches: 73/100, train loss: 0.659, test auc: 0.695
epoch/epoches: 74/100, train loss: 0.659, test auc: 0.696
epoch/epoches: 75/100, train loss: 0.659, test auc: 0.695
epoch/epoches: 76/100, train loss: 0.659, test auc: 0.694
epoch/epoches: 77/100, train loss: 0.659, test auc: 0.694
epoch/epoches: 78/100, train loss: 0.659, test auc: 0.693
epoch/epoches: 79/100, train loss: 0.658, test auc: 0.692
epoch/epoches: 80/100, train loss: 0.659, test auc: 0.692
epoch/epoches: 81/100, train loss: 0.658, test auc: 0.693
epoch/epoches: 82/100, train loss: 0.658, test auc: 0.693
epoch/epoches: 83/100, train loss: 0.658, test auc: 0.691
epoch/epoches: 84/100, train loss: 0.658, test auc: 0.690
epoch/epoches: 85/100, train loss: 0.658, test auc: 0.691
epoch/epoches: 86/100, train loss: 0.657, test auc: 0.692
epoch/epoches: 87/100, train loss: 0.657, test auc: 0.690
epoch/epoches: 88/100, train loss: 0.657, test auc: 0.690
epoch/epoches: 89/100, train loss: 0.657, test auc: 0.689
epoch/epoches: 90/100, train loss: 0.656, test auc: 0.689
epoch/epoches: 91/100, train loss: 0.657, test auc: 0.687
epoch/epoches: 92/100, train loss: 0.656, test auc: 0.687
epoch/epoches: 93/100, train loss: 0.656, test auc: 0.686
epoch/epoches: 94/100, train loss: 0.656, test auc: 0.687
epoch/epoches: 95/100, train loss: 0.656, test auc: 0.685
epoch/epoches: 96/100, train loss: 0.655, test auc: 0.687
epoch/epoches: 97/100, train loss: 0.656, test auc: 0.686
epoch/epoches: 98/100, train loss: 0.655, test auc: 0.687
epoch/epoches: 99/100, train loss: 0.655, test auc: 0.686
